,tweets,label,username,location
1927,What the fuck #DonaldTrump https://t.co/fPCYo9pDM2,,GGattr,"Austria, Salzburg"
1928,"Actually, there's not a lot of reaction to #Trump saying this from any political sector.
Anyone want to guess what would happen if Obama, or even one of the Clintons, said it? 

Pro-Israel Evangelicals Stay Silent on Trump's 'Fuck Bibi' Comment  https://t.co/pAbIBePtFG",,MJPlitnick,"ÜT: 39.154171,-77.271669"
1929,"How many people have said, “I’m going to kill so-&amp;-so if they…” or “You have to FIGHT for what you want,” etc. We don’t mean it literally. #Trump speaks like us non legal/political minds and we like that, but media and enemies use it to attack him.",,missi51,"Kentucky, USA"
1930,"Fuck Trump, dude was supposed to be the one to give us aliens. If they got aliens, he’s telling us we got goddamn aliens. So either we don’t know anything, or he’s a liar.
#trump #ufotwitter #lies",,mdeetelm,
1931,All those stalwarts of conservative media tried to get Trump to stop what was happening-- then they turned around and tried to minimize (or outright lie about) what happened for the next 11 months. Fuck all of them.,,BeachballDelay,"convenient to Locust, NC"
1932,"WHAT BETRAYAL! TRUMP’S WICKED JUSTICES KAVANAUGH &amp; BARRETT SIDE WITH THE... https://t.co/DR3PWcNiiV via @YouTube 
FUCK THE COVID 19 LIE!!!!!!!!!!",,PatrickVGragg1,
1933,"#MarkMeadows is a racist traitor. He was soulless before trump but trump solidified his complete lack of character.

Fuck him and fuck the entire GQP.",,wendimyb,"Chicago, IL"
1934,"What the fuck, how are these people not under fucking arrest?
https://t.co/NQutdjd73y",,Samizdat24,Philly
1935,"@USAGov Why doesn't the law apply to Trump, his crime family, and the GOP in general?  Every time some GOP scumbag that's guilty as fuck is accused they lie, deny, and waste tons of time and tax dollars going thru all their lies and BS - the dishonorable scum do anything to avoid",,JVoqar,
1936,@chipfranklin Fuck yes. Everyone that got in bed with Trump needs to be locked up. That was a straight up attempt to overthrow our democracy.,,ChungSween55,
1937,"@LarrySabato @ericowensdc @RepLizCheney Trump will be the next Speaker. Defacto or otherwise hold the  #Gavel. Fuck YOU, Larry! @EricTrump @MarkMeadows",,ekstromfortexas,Texas
1938,If  teanna trump voodoo doll is life size ima fuck it actually ima fuck it regardless. If it’s life size ima get it pregnant,,carteIdemon,UPTOWN PHILLY OR DA MASJID
1939,"@Jim_Jordan Hey, Jim.
Is that really something you want to have said?
That ex-presidents who encouraged people to kill cops and hang the vice-president to overturn a lawful election are untouchable?
Seriously?",,glory_trump,California
1940,"@davenewworld_2 @abughazalehkat Oh puh-leeze! I'm gay &amp; half Mexican. I could have a best-selling book, a successful tour (complete with cheek kisses from Trump himself) &amp; be kicking Tucker's ass in ratings.",,MarkAbbott16,"Hershey, Nebraska"
1941,"Holy fuck, that treasonous piece of shit Mark Meadows, is being crucified on live TV by the Jan 6th Committee and I’m loving every delicious second  of it.  

With that, I yield back the balance of my time.",,Trump_Detester,Canada
1942,@unusual_whales These are both Trump appointees. Maybe I shouldn't be so judgmental but trying to kill congress kind of soured me on the potential competency of any and all of his appointees.,,Erik_Reppen,Chicago
1943,"TFG is sitting in his tacky af Floridumbfuckistan house laughing at Mark Meadows as the bus rolls over him. Same way he laughed at Michael Cohen. Trump doesn't give a fuck if people rot in jail because he's never faced a consequence in his entire life. 

#TrumpCoupAttempt",,hedzofhedz,
1944,His house &amp,, car is draped in the American flag and at one point he had a Trump sign.Everyone here knows we're Muslim &amp, Palestinian. At one point my mom tried to send them food but they didn't take it. I know that fucker did it to scare me especially bc of the way he yelled it.2/2
1945,"Ok, deep breath, here goes....WHY THE FUCK ISN'T DONALD TRUMP IN JAIL ARE WE LIVING IN BIZARRO WORLD JFC!...thanks, had to get that out. #TrumpCoupAttempt",,JakeGold,"Phoenix, AZ"
1946,"@ Donald Trump, ayeo you can come back my nigga.",,Primo_thadon,"Virginia Beach, VA"
1947,just found out my favorite nigga family trump supporters &amp,, don't like blm. i'm hurttttt i'm gon have to cut him off 😩😭😭😭,thatssomesha
1948,@BlueSwede2000 @kristyshl @Ldogls @poppij @RobertP99368537 @WalterBlake1 @keriRN @zazzybritches @GDThor1 @Cha51brolll19 @moriartydg @impinkestgirl @yoly54128913 @vaato5455 @BonJS0370 @RockyMtnView @bobbiejaneV @62WalterP @KeepsAtIt @gojoe_joe @RegVickers @BernadetteNTF @HondoResists @CartistNy @sugar1420 @CunningSq16 @McGeezer70 @Saline_tRick @bettypge69 @politiolyc @MarciaBunney @MFrance923 @ldog562 @Helen504 @StaryStaryNlght @MairScott3 @CirclesSpinning @blues679 @TilghmanChris @MusicIsTheory @Ezim79 @doug_in_nc @TJNugent520 @OklahomaPatrio1 @patricia_millin @BlueWave_resist @HollyHuntley3 @Chieki .😄😄😄😄😄 she's more of a whore than a slut. I'm certain Trump had to pay. Not any more because she's to old for him.😙😙😙 prostitution isn't really profitable for women in their50.😄😄😄😄,,GreatTammie,"Texas, USA"
1949,"@UAW @SEIU @AARP @TheView @VFWHQ @USArmy @USNavy @USMC @FBI @NavalAcademy @WestPoint_USMA @CIA @SenateGOP @VVAmerica @NSAGov @KBeds   @MomsDemand @ProjectLincoln @Rotary @HouseDemocrats @Teamsters @davidhogg111 @AFLCIO @NEAToday @votevets @HouseGOP

Fuck Trump👇 https://t.co/fXRjLHmOCC",,NewKidInTown47,
1950,"I told my sis Biden said “fuck y’all and them student loans” she said “fuck him, bring Trump back”. 😂😂😂",,whoissylvr,"Phoenix, AZ"
1951,@chipfranklin When Trump was on Howard Stern saying he wants to fuck his own daughter,,mocche4,
1952,"@KelleyAshbyPaul @RandPaul Hey, I’m calling from the States that voted against Trump. We say, you’re welcome. Even though your husband tried to fuck us over.",,zensuit1,
1953,@GOPLeader You mean the pandemic that Donald Trump lied to the American people about even though he knew it would kill thousands.,,ClaireD4607,"New Jersey, USA, Jersey Shore"
1954,I miss that racist ass nigga Trump 😒 https://t.co/XJSk1lyXnm,,JalenFromTheMob,"Columbus, OH"
1955,Biden fucking up! I told my momma to  vote for trump n she talkin bout sum “fuck trump”,,newweraa_,"Your Mind , Your World"
1956,"@LangmanVince “Who gives a fuck about Christmas stuff and decoration?” -Melania Trump, FLOTUS (at the time)",,sebeku2,"Atlanta, GA"
1957,Trump still should’ve freed Larry fuck is wrong with dude?,,SiiN_WRLD,Somewhere Mindin My Business 
1958,"To the Donald tRump Supporters out there - Fuck Your Feelings, tRump Lost Get Over It https://t.co/VDdAHmN2Rt",,Sgt__Devildog,Blue State 
1959,Me too- fuck Donald Trump and all those that tried to take my vote - https://t.co/0FAFwtwmry,,momsresistnow,United States
1960,"😳🥵😱😰😨🤯😷🤕🤒...fuck...not again 

Trump teases 2024 run during Orlando event with O'Reilly https://t.co/Hy4ytL2KWF",,Mary44200591,"Kennett Square, PA"
1961,@LM7_Robin @JoeBiden Fuck trump,,WWEFan199,"Portsmouth, VA"
1962,Worth repeating for forever: Fuck Donald Trump. https://t.co/qGWC6RkTKv,,ChrisBCary,
1963,@mattgaetz Dear Mattie why you so gay for Trump? It’s got to be the drugs - is he your hook up ? https://t.co/ERN2pLCCWi,,mocche4,
1964,@BerniecratAaron @amazingatheist I'll take corporate any day of the fucking week considering I can log off this donkey shit platform at any time. I guess trump proved that companies can cancel you on literally everything if they want too tho Maybe just support the human right of speech and tell both to fuck off?,,skettidark,ur mums bed
1965,"I don’t fuck with trump, but if all you do is hate on the clown ima say I like him just to watch you lose it. Since you a weak as bitch",,Mcvid9,Earth 
1966,"""History and the law teach that this attempt is not a crime,"" Terwilliger (Meadows lawyer) wrote.""

⏫ So if you attempt to kill someone but they dont die, it's not a crime?

CNN: Meadows said Nat Guard ready to 'protect pro Trump people' 
https://t.co/6o8mFoSZDS

via @GoogleNews",,KiwiLee17,"Auckland, New Zealand"
1967,fuck trump,,beepboop1100,
1968,"@radchrissyj @darylbaptist @crhaunt Oh fuck me. 

You're Victorian AND you're a Trump fan. 

ahahaha

AHAHAHAHA",,IvytheGrampa,"Adelaide, South Australia"
1969,"WHAT THE ACTUAL FUCK.

MULTIPLE FOX PUNDITS WERE TEXTING CHIEF OF STAFF MEADOWS DIRECTLY TO RE: JANUARY 6 ATTACKS. 

WHY ARE FOX PUNDITS TEXTING THE TRUMP WHITE HOUSE WITH A GOD DAMN DIRECT LINE AND CALLING SHOTS ABOUT OUR DEMOCRACY. 

#FOXtraitors
#TrumpCoupAttempt",,TKresist,
1970,He didn’t cut the $10K he said he was going to. Fuck you old man. At least Trump had the balls to be a dickhead and not hide it. https://t.co/9iNOChRRJ8,,TWO808,"Chicago, IL"
1971,"NO, dumbass Trump Republicans for governor in Illinois! HELL👹 NO! Republicans will fuck your life up! 🤡👀😁👎🖕 https://t.co/DjWNV5dTOw",,kennetht763,
1972,zipl ine zero 2.0,, Oceana, Jah clients r truly secretive napoleon fans
1973,"Holy shit, these texts they are reading. Fuck Donald Trump.",,RYNO66,"Des Moines, IA "
1974,"It’s days away from 2022 and Trump is trending again…

What did Biden fuck up this time?",,tribe_zero,Probably the gym
1975,"Fuck Laura Ingram,Sean Hannity,Donald Trump Jr just got called out by Li, Cheney. How do like them apples Donald.",,JasminePittend1,"Perth, Western Australia"
1976,"THIS DEMOCRATS NEED TO FORGET WHAT MAD AMERICAN DOING IN JANUARY SIX, THEY NEED TO WORRY ABOUT WHAT IS HAPPEN IN ALL  BLUE STATES, GRAB AND TAKE, KILLING, ILLEGAL IMMIGRAT. COMING TO KILL AMERICANS PEOPLE, THIS WE NEED TO TAKE ACTION, NOT JANUARY SIX, THE SCARED TRUMP BACK AGAIN",,rafaelrcolon57,
1977,@VoidOfRoses @kimpossiblefact Trump admin with Pompeo were the ones plotting to kill him lmao,,xrsvlt,"Berlin, Germany"
1978,@SarahLongwell25 Trump supporters don't care one way or the other about gay marriage. It's a non-issue for them.,,ThisIsMike11,Milwaukee
1979,The only good thing the Trump administration ever did was reinstate death by firing squad as they were passing around treason memos and coup powerpoint presentations right before trying to kill Congress.,,BlackKnight10k,Drowning in Maga Tears
1980,Who the fuck is on diaper duty for Trump tonight? https://t.co/vskiTB5r8C,,TrumpHasHoax,
1981,Fuck Trump #LockHimUp https://t.co/FGSeIthWqE,,ThirdAngie,"New Jersey, USA"
1982,@DjShaunLV It's the lame sneaky coward energy for me. Just say Fuck Biden if that's what you feel. Lord knows I've said fuck trump everyday for 5+ years,,OpticMusic,Las Vegas
1983,"@humbleguy36 @quickwitter @lucky_penny123 No, Trump got Michael Cohen to contact them because he heard a story was coming out during his campaign, that's when catch &amp; kill came about for Trump in NYC. But he had to pay these two to sign a NDA and pay them hush money. You think either one of them cared if anyone found out",,JaneElizabeth04,
1984,"@PsychPLockwood @nickiclyne Maybe throw in the fact that he also got banned from tiktok for hate speech. That makes Cristian  a black, gay, hatefilled conservative who thinks trump doesn't lie and was a really good president.",,gracechurch64,
1985,"@ggreenwald Haha... Glenn Greenwald playing the gay card.

Because only gay people are mocked for liking young boy/girls.

I guess Donald Trump and Matt Gaetz must be gay too.",,hyteckit,
1986,"Kill Pence,
Fight Trump,
Slap Biden",,KenCoolest,VillagehiddenintheEast ⚪️
1987,"@IowaGOP @RepCindyAxne Republican State Rep. Sandy Salmon traveled to Sioux Falls for conspiracy theorist Mike Lindell's ""cyber symposium,"" an event focused on the lie that the 2020 election was stolen from Donald Trump. Salmon wrote that she was ""really impressed"" with Lindell.",,therapist_gay,Earth 
1988,"@IowaGOP @KimReynoldsIA Republican State Rep. Sandy Salmon traveled to Sioux Falls for conspiracy theorist Mike Lindell's ""cyber symposium,"" an event focused on the lie that the 2020 election was stolen from Donald Trump. Salmon wrote that she was ""really impressed"" with Lindell.",,therapist_gay,Earth 
1989,"@RepFeenstra @IowaGOP Republican State Rep. Sandy Salmon traveled to Sioux Falls for conspiracy theorist Mike Lindell's ""cyber symposium,"" an event focused on the lie that the 2020 election was stolen from Donald Trump. Salmon wrote that she was ""really impressed"" with Lindell.",,therapist_gay,Earth 
1990,"@IowaGOP Republican State Rep. Sandy Salmon traveled to Sioux Falls for conspiracy theorist Mike Lindell's ""cyber symposium,"" an event focused on the lie that the 2020 election was stolen from Donald Trump. Salmon wrote that she was ""really impressed"" with Lindell.",,therapist_gay,Earth 
1991,"@GOPChairwoman @IowaGOP Republican State Rep. Sandy Salmon traveled to Sioux Falls for conspiracy theorist Mike Lindell's ""cyber symposium,"" an event focused on the lie that the 2020 election was stolen from Donald Trump. Salmon wrote that she was ""really impressed"" with Lindell.",,therapist_gay,Earth 
1992,"@PatGrassley @IAHouseGOP @IAGovernor Republican State Rep. Sandy Salmon traveled to Sioux Falls for conspiracy theorist Mike Lindell's ""cyber symposium,"" an event focused on the lie that the 2020 election was stolen from Donald Trump. Salmon wrote that she was ""really impressed"" with Lindell.",,therapist_gay,Earth 
1993,"@IAHouseGOP Republican State Rep. Sandy Salmon traveled to Sioux Falls for conspiracy theorist Mike Lindell's ""cyber symposium,"" an event focused on the lie that the 2020 election was stolen from Donald Trump. Salmon wrote that she was ""really impressed"" with Lindell.",,therapist_gay,Earth 
1994,"A popular golf equipment manufacturer is reportedly rejecting customized orders to print “Let’s Go Brandon” on its golf balls, but allowing phrases like “Kill Trump” and “Kill Cops.” 

https://t.co/kKcB8g05qQ",,KHQA,"Quincy, IL"
1995,If we can convince Trump that being gay is an airborne illness we can get all republicans to wear masks within a week,,DylanC89895775,"Bakersfield, CA"
1996,"@ScottAdamsSays Just accept the fact you were wrong, it was obvious to not get mRNA vaccines. People are wrong all the time (not me), your wrong choice will kill you in under 5 years due to immune issues. You predicted Trump winning, but that doesn't make you good at predicting things.",,NeverTakingIt,
1997,@dukewindsor388 I saw a car today with 5 flags. 4 said Trump is my president and the 5th said fuck Biden. Nice. We are in such trouble.,,safianwhite,Brooklyn 
1998,"@DMRegister Republican State Rep. Sandy Salmon traveled to Sioux Falls for conspiracy theorist Mike Lindell's ""cyber symposium,"" an event focused on the lie that the 2020 election was stolen from Donald Trump. Salmon wrote that she was ""really impressed"" with Lindell.",,therapist_gay,Earth 
1999,"⁦@Sen_JoeManchin⁩ HOW ABOUT YOU PROTECT US? Kill the FILIBUSTER. Pass VOTING RIGHTS b4 it’s too late!!! 

How Donald Trump Could Subvert the 2024 Election - The Atlantic https://t.co/t1ltvFFNbr",,cohen78083478,
2000,"@EdmundSRobson @GOPChairwoman Ha ha, Trump sent Pence to do the Dover job--you know, the guy Trump ended up trying to kill.  https://t.co/fL8snfaGXf",,cfnf77,
2001,@Picss3o @paulwaugh @BorisJohnson Agree with all except ‘head of state’ absolutely no need for the one we have or an elected ‘president’ look how that can easily fuck up! (Trump - I rest my case!),,Dave_Smith1970,"Sheffield, England"
2002,"There is a certain kind of person who thinks saying fuck is transgressive because their entire self-image is doing things they think would shock an evangelical they knew as a kid. ""Mr TRUMP, SIR, YOU'RE FATUOUS FUCKSTICK. NOT THAT YOUD KNOW WHAT THAT MEANS.""",,jonnysocialism,daath
2003,ion give a fuck. kanye my president. not biden. not trump. #Kanye2024.,,redbeamx,
2004,@catfishyak He has said multiple times he's not gay. The boy lies like trump.,,Nineofnine1,
2005,"Sounds like trump is gay for the North Korean dictator. He is jealous of these three because they don’t answer to anyone, while trump had to answer to the Americans. https://t.co/79f8g5Guhr",,bruinbobtrop,"Thiensville, WI"
2006,"@KWWL Republican State Rep. Sandy Salmon traveled to Sioux Falls for conspiracy theorist Mike Lindell's ""cyber symposium,"" an event focused on the lie that the 2020 election was stolen from Donald Trump. Salmon wrote that she was ""really impressed"" with Lindell.",,therapist_gay,Earth 
2007,"CNN: Tapper: Trump tried to kill democracy once. He'll do it again.
https://t.co/92zJRgrvbc

via @GoogleNews",,proudCanadavet,Canada 
2008,"@WavNewspapers Republican State Rep. Sandy Salmon traveled to Sioux Falls for conspiracy theorist Mike Lindell's ""cyber symposium,"" an event focused on the lie that the 2020 election was stolen from Donald Trump. Salmon wrote that she was ""really impressed"" with Lindell.",,therapist_gay,Earth 
2009,"Freedom of speech is a remarkable thing in America. Mainly used to have a pop at their presidents. Moaning about Trump, saying 'Fuck Joe Biden'. In China some tennis player went 'missing'",,GarethH91097267,
2010,"@LauraRBelin @hort4cy Republican State Rep. Sandy Salmon traveled to Sioux Falls for conspiracy theorist Mike Lindell's ""cyber symposium,"" an event focused on the lie that the 2020 election was stolen from Donald Trump. Salmon wrote that she was ""really impressed"" with Lindell.",,therapist_gay,Earth 
2011,trump and his idiot goons couldn’t even coup right. What a bunch of traitorous fuck up assclowns. #GOPCoup,,briers_mattc,"Virginia, USA"
2012,"@ErinDMurphy Republican State Rep. Sandy Salmon traveled to Sioux Falls for conspiracy theorist Mike Lindell's ""cyber symposium,"" an event focused on the lie that the 2020 election was stolen from Donald Trump. Salmon wrote that she was ""really impressed"" with Lindell.",,therapist_gay,Earth 
2013,"@dreadxscott Like we just picked him cuz of Trump… but damn, at least ACT like you want the job my nigga… sheesh",,ThatKingxCold,Atl 
2014,"Start locking their ass up in masses, I wouldn't give a fuck who it is, but one thing is for sure none of this will make one dam bit of difference if Trump is not held accountable",,CWilson55412266,
2015,Y’all hated trump so bad tho😂😂this nigga worse https://t.co/ZeufSk52X4,,ThatsJustNick_,
2016,"i understand when people like trump are named poy because even though they’re shit people, they had made a significant impact on the year in question, but how the fuck did elon musk impact this year more than anyone else on the planet? what a shitty choice. https://t.co/v3fm9RnKtE",,shatterededges,(she/her)
2017,"@selectttt 2016 happened because

The Apprentice (""Trump's a brilliant businessman!"")
The Obama backlash
Misogyny (""Fuck that cunt!"")
Complacency (""Trump can't possibly win"")
@DrJillStein voters in swing states and their protest votes

happened, a perfect storm of awfulness and stupidity",,beleagueredst,Carlisle
2018,For those saying Kentucky doesn’t deserve aid because they voted McConnell and Paul can fuck off. You’re acting no better than Trump with him not working with democratic states. Be better!!!,,ResistanceInRed,"South Carolina, USA"
2019,"Agree 100%. I had a good friend for decades. When Trump won, he defriended me on Facebook and said we were no longer friends. When Biden won, he said we are friends again. My response to him “Fuck you!”  That’s how it’s handled. https://t.co/8zh115wKUm",,Gracie5111,"Missouri, USA"
2020,@Sik_wit_it_jive @MuellerSheWrote @jamiegangel @CNN He’s crooked never trusted the fucker. This is where trump was terrible in personnel decisions,,GinoGonzo198,
2021,@Bob_Wachter @washingtonpost That was Joe Biden's plan all along.  Kill more than Trump.,,joeba,Connecticut
2022,"@GoSydGo I AM MEXICAN !

A LOT OF Y'ALL JUST AS BAD AS DONALD TRUMP TO ME WITH THE WALL SHIT..

LITERALLY DISRESPECT ME EVERY DAY; &amp; EXPECT ME TO JUST SIT THERE &amp; TAKE IT..

FUCK THAT !!",,BABYIRON_BFM,"Winnfield, LA"
2023,"Even if this is true (it isn’t), the national debt increased by $8 trillion when Republicans were in the majority and Trump was president. Shut the fuck up. https://t.co/9VOiXRzwD1",,joshclemishire,
2024,@AlysonMetzger that some of these facts are being pushed by certain sects of right wingers for misguided reasons (allegiance to Trump or Qanon or whatever the fuck) doesn't change the legitimacy of that particular set of facts. would you like me to post the cdc and nih studies they came from?,,TheTigerDenPod1,New Hampshire
2025,@_SmarkSister Wrestling AND fuck Trump? You just earned yourself a follow! 🔥,,gpeterson16,United States
2026,"@TheBeef1983 @JeremyKutz9 @XfinityRacing @DAYTONA @brandonbrown_68 @BMSRaceTeam You don't... actually think the reporter should have repeated verbatim, on national television, what was being said, right?

Could have been chanting ""Fuck Donald Trump"" and the same thing would have happened. 

God y'all are a bunch of victim complex trolls, lol",,Merc249,
2027,@Themysciraislet It’s all politics ..trump and fox created this divide. Red state governors are banning vaccines and masks to bust Biden and win voters. How many can they kill and still win?,,summer7570,
2028,"Trump and the Republican Party with their response to a great deal of misinformation have killed more then 800 thousand Americans and wanting to ""KILL"" more !!! https://t.co/cwFdSm6klQ",,adkins381,
2029,Trump gon end up right back in office cuz of this nigga,,burntcobain,PS42WW$
2030,"@amvetsupport Trump and the Republican Party with their response to a great deal of misinformation have killed more then 800 thousand Americans and wanting to ""KILL"" more !!!",,adkins381,
2031,I remember when Trump was President during  #covid19 the Democrats wanted to shut everything down. My question is why not shut it down now? More cases. Unless they just wanted to kill Trump's economy and don't want to kill Biden's. Ya know what I'm saying?,,durty804,United States
2032,Lol this nigga a menace bring trump back 2024. https://t.co/k12BKANRlx,,KingKevv5,"San Bernardino, CA"
2033,"@luciocmesquita @CanadianPolling He can be guaranteed 30% no matter what he did, who he did it to, Con voters are loyal. Like Trump, he could kill someone in the street, his base wouldn't care,  and in our excellent, modern system of democracy, he only needs to get 3-4% more and wins a majority.",,steamer1960,Ontario
2034,"@scottjblair @Kamots_A @AP You might find it interesting. I made a couple predictions in 2018...I predicted Trump would lose reelection because, like Hillary, he wouldn't shut up. I then followed with Biden would win but screw up so bad he would lose reelection and kill dem wins for at least 2 cycles after",,Realist51276840,3rd Rock...I thought.
2035,@chad_kung @AtheGemini @SourForward @PrimeOgHarris @AliceTaylorM Where the fuck did you get the idea that I'm a trump supporter? I don't live in America and my politics are not remotely close to being aligned with Trump,,RadicalLynx,unceded Algonquin land
2036,@REDSEASHAWTY I feel this so much especially with trump winning the presidency couple years back. Lotta racists in California took their masks off when trump was in office and they got comfortable as fuck with it off.,,CzerSalazar,LA
2037,"When #Trump was POTUS I would open news and social media with one eye closed concerned with what pile of 💩 he had stepped in overnight.

Now with @JoeBiden I do the same, only now my concern is how much more Joe will fuck up this country, EVERY SINGLE DAY!",,bigNewman,"Florida, USA"
2038,"@RevNFidel Pretty sure they're just not aware of fuck all around them.

Sort of like a trump supporter.",,Dave07778029,Currently living in Canada. 
2039,"@RandPaul @Lowes For all good southern Christians let this be a lesson; pollute the planet, deny catastrophic climate change, vote Trump, cage&amp;kill kids, wantonly shoot jogging neighbors&amp; #BLM protestors&amp;God has a message for you you'll never forget...if you survive the delivery. @NinaTurner @GOP https://t.co/AXYcY5krCr",,mead2024org,San Francisco
2040,"It's all coming together so clearly! The plan was never to go in and capture or kill a Dem or Pence. The plan was to have chaos in front of the Capitol with counter protesters (Antifa), and have to call a National Emergency, green lighting tRump to enact martial law! Damn! https://t.co/HlkeMl0xoN",,BRaime619,619
2041,this nigga is worse than trump https://t.co/Dgr2ZgJDHa,,brvaxna,
2042,They blinded by their own opinions and others as well.. it’s always “fuck biden/trump” but it’s fuck them both over here 💯🤝 https://t.co/KwucDKimV6,,_BaThomas,
2043,"@ggreenwald Yes, he's certainly displaying his intelligence parroting Trump's insane line about energy independence. holy fuck you fell off",,SparrowOat,
2044,"@WyoKaiju @monsterlemon ""sucks to have a celebrity president during a pandemic, but you could have done worse than Dolly Parton, i guess""

""... actually it was Donald Trump who was president""

""the FUCK???""",,mcmillen,"Somerville, MA"
2045,@BluYuke @kaiserbastard Thank fuck I'm not a trump voter,,TsundereEnjoyer,"Latvian Spy HQ, England"
2046,"@GravyMotorboat @pooter03 @GratefulList @realTuckFrumper He’s pushing a vaccine that clearly doesn’t stop the spread… And what does March 2020 mean? So trump had 9 months to kill 220k, Biden’s killed 130k more than that in the same amount of time, again, WITH a readily available vaccine. Seems he should be able to keep more alive, no?",,Wuteva87,
2047,"@Billybobwalter1 Trump won, Oswald was a patsy and Epstein didn’t kill himself",,KevinAn06912126,"Arkansas, USA"
2048,"If it was Trump, with Dem states asking, he would have said Fuck ‘em. https://t.co/jlOlua1NKS",,KevanYoung2,
2049,@ProbativePost Pence probably thought Trump’s people would kill him.  That’s why he stayed . . good decision.,,Elizabeth13612,"Brooklyn, NY"
2050,"Joe Biden finna have a worse approval rating that trump 😂 I told y’all not to vote that nigga, my lesser of the two evils was trump if I HAD to pick a mf Ima pick the mf that’s good for BUSINESS!!!!!",,KingHaltonIII,"Rancho Cucamonga, CA"
2051,@quitfixngGAMES @TheOrdonezTimes You think it would be better under Trump? With Covid he basically told blue states to fuck off and they weren't getting any help. The man is sadistic,,AlexStillMe,"Derbyshire, United Kingdom"
2052,@JordanUhl @POTUS what the fuck? Environmental policy was why I voted for you over trump. Thanks for nothing.,,willtheyhear,United States
2053,Did Trump fuck Rudy's wife back in the day as Andrew and Eric are like twins. The pair have a lot in common for one the two are dumb as fuck I think Rudy should get a DNA test and just let Andy and Eric now that not a quiz.,,alexand60080358,
2054,That was bad when the Trump supporters stormed the white house! But they didnt kill anyone.. Democrats did.,,RedneckRomeo317,
2055,"@HBTrojan58 @AnnetteLedesm13 @OdieLisa @ArayAromaz @ThisWeekABC @GovChristie Trump would not made the border a disaster,kept oil independence,not put us in a gay Paris agreement,and we would not be in this nightmare inflation situation that leaves us poorer. Joes goal is to create 2 classes of people,rich and poor.",,CMoNManYouUsing,
2056,"I think it's interesting how Trump does this thing where he says something, ""I like to kill kittens"" and then follows it up with ""Now the media will be all over me saying 'He likes to kill kittens'"".  As though other people caring is inherently exculpatory. https://t.co/nVmq5dpnaj",,gluonspring,California.  (forged in TX) 
2057,"Wait, they put that greedy fuck Musk on the cover?  Well, it's marginally better than Trump, I suppose.

#ElonMuskIsAGreedyBastard https://t.co/BtzrLwwkAL",,SuperSQUID19,"Around 46°N, 68°W "
2058,Pretty much lowkeying the tRUmp fascist takeover of our Democracy. Guess what?  The Jan 6 committee is fruitful and answers are forthcoming. Fuck all the gd traitors who made a mockery of our nation and their supposed religion by supporting a golden calf 2-bit wannabe dictator,,dmmf7,
2059,"@Acyn And under Trump we saw hundreds if not thousands of people storm the US Capitol, threaten to kill the Speaker and the VP and caused the deaths of 5 people. Does the GOP think that's good governing?",,ducksinmypool,Blocked by Kirstie Alley
2060,Trump should’ve free Larry fuck is wrong with dude,,ChicitinNicotin,
2061,Fuck Donald Trump #TrumpCoupAttempt,,Shynlonelygirl,Planet Earth
2062,"@MikeSington Just as we saw in the Black lives Matter protests. Those in uniform came from⚠️ this is no longer about politics This is far more Dangerous. 
40 million voted for Trump. The question would be how many are willing to kill for trump. Kill for the Republicans ⚠️⚠️⚠️⚠️",,lilredandy,"Melbourne, Victoria"
2063,"2020 Election:

So, let's get 2020 election issue to rest once in for all.
The reason why dumb Trump is running in 2024 election is because, he officially lost the 2020 election, right?

""Yes!""
 So, Ted Cruz is dumb fuck too!

 ""Absolutely!""",,David01670784,
2064,"@Reince @LindseyGrahamSC I am a registered voter. Gay white male on SSD, 5 YRS Cancer remission and barely surviving on what I make. I voted for Trump! You Republicans right now are really really making me think twice where my next vote goes,alot of my friends also. IGNORANT ANTICS..KNOCK IT OFF!!",,rubywitch2011,"Connecticut, USA"
2065,Time for you to wake the fuck up! Trump and his damn Republicans are destroying American Democracy! 🧐 https://t.co/unLMwso0o1,,bjoyful123,"San Francisco, CA"
2066,@frankjcjohn @drummerboyhenry The point made was “we are so hard we said fuck trump” - the reality is “let’s go Brandon” triggers more people. Dudes not even acknowledged. Just called Brandon. 😂,,FishingwithD,
2067,"@CasticSartre Yep, they used homophobic insults against Trump constantly - he was a weak loser because he was gay for Putin, etc. -- and they thought it was fine because bigotry is only bad when the primitive deplorables use it, not the enlightened left.",,ggreenwald,GlennGreenwald@gmail.com
2068,"Trump had an armed militia working for him on J6. He wanted his brainwashed followers to hang his vice president. He studied a coup-PowerPoint 2 days before. He could have stopped the Insurrection with a single tweet, but chose to watch them kill on tv instead. #TrumpCoupAttempt",,UncvrngTheTruth,
2069,"I'll remember the 800,000 dead Americans that Trump's ignorance helped kill. But thanks for checking in. https://t.co/tB4zbEIUuw",,MrOishmeloish,Worldwide
2070,The way Trump is SWEEPING 2024 bc of this dumb demented fuck 😂😂😂 https://t.co/tHwvAUEQFu,,98Darius,Sirius B
2071,"Omicron taught the greedy, last month, that Africa isn’t going to die and give us all that lovely real estate, mineral rights, &amp; petroleum (oil) — Nope, it’s going to allow a fucking mutant variant to arrive to kill off our dumb ass species!!! Stockpiler Trump fortunately is gone https://t.co/aBOy9gDfDV",,priscilagural,
